Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"F02",Absolute Quantification,"ABS","MD014",Ch1Unknown,"v3v4","Manual",1034,QX200 ddPCR EvaGreen Supermix,20680,,,1055,1023,9952,7069,,,,,,17021,,,,,,,,,,,,,,,,,,1,1,14996,23601,12410,18953,"Absolute Quantification Experiment",,,,1000,0,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","ME013",Ch1Unknown,"v3v4","Manual",1392,QX200 ddPCR EvaGreen Supermix,27840,,,1419,1379,12494,5514,,,,,,18008,,,,,,,,,,,,,,,,,,1,1,14996,22685,12352,19521,"Absolute Quantification Experiment",,,,1400,0,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","ME014",Ch1Unknown,"v3v4","Manual",579,QX200 ddPCR EvaGreen Supermix,11580,,,593,571,6313,9934,,,,,,16247,,,,,,,,,,,,,,,,,,1,1,14996,23675,12184,16649,"Absolute Quantification Experiment",,,,590,0,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","MG013",Ch1Unknown,"v3v4","Manual",1099,QX200 ddPCR EvaGreen Supermix,21980,,,1121,1087,10248,6637,,,,,,16885,,,,,,,,,,,,,,,,,,1,1,14996,23474,12118,19011,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","MH013",Ch1Unknown,"v3v4","Manual",882,QX200 ddPCR EvaGreen Supermix,17640,,,901,872,9121,8172,,,,,,17293,,,,,,,,,,,,,,,,,,1,1,14996,24055,11867,18295,"Absolute Quantification Experiment",,,,890,0,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","SA013",Ch1Unknown,"v3v4","Manual",3143,QX200 ddPCR EvaGreen Supermix,62860,,,3206,3113,17816,1323,,,,,,19139,,,,,,,,,,,,,,,,,,1,1,14996,21318,11956,20671,"Absolute Quantification Experiment",,,,3200,0,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","SC013",Ch1Unknown,"v3v4","Manual",81.3,QX200 ddPCR EvaGreen Supermix,1626,,,85.8,79,1229,17183,,,,,,18412,,,,,,,,,,,,,,,,,,1,1,14996,24578,11737,12594,"Absolute Quantification Experiment",,,,84,0,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","SD013",Ch1Unknown,"v3v4","Manual",3410,QX200 ddPCR EvaGreen Supermix,68200,,,3480,3370,17351,1012,,,,,,18363,,,,,,,,,,,,,,,,,,1,1,14996,21684,12176,21160,"Absolute Quantification Experiment",,,,3400,0,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","SD014",Ch1Unknown,"v3v4","Manual",3940,QX200 ddPCR EvaGreen Supermix,78800,,,4030,3890,17196,628,,,,,,17824,,,,,,,,,,,,,,,,,,1,1,14996,21856,12138,21514,"Absolute Quantification Experiment",,,,4000,0,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","SE013",Ch1Unknown,"v3v4","Manual",3720,QX200 ddPCR EvaGreen Supermix,74400,,,3800,3680,17156,761,,,,,,17917,,,,,,,,,,,,,,,,,,1,1,14996,23604,12067,23114,"Absolute Quantification Experiment",,,,3800,0,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","SE014",Ch1Unknown,"v3v4","Manual",3460,QX200 ddPCR EvaGreen Supermix,69200,,,3540,3430,17019,947,,,,,,17966,,,,,,,,,,,,,,,,,,1,1,14996,22049,11620,21499,"Absolute Quantification Experiment",,,,3500,0,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","SG013",Ch1Unknown,"v3v4","Manual",3500,QX200 ddPCR EvaGreen Supermix,70000,,,3580,3460,15576,837,,,,,,16413,,,,,,,,,,,,,,,,,,1,1,14996,20965,11537,20485,"Absolute Quantification Experiment",,,,3500,0,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","SH013",Ch1Unknown,"v3v4","Manual",1421,QX200 ddPCR EvaGreen Supermix,28420,,,1448,1408,12579,5361,,,,,,17940,,,,,,,,,,,,,,,,,,1,1,14996,23077,11508,19620,"Absolute Quantification Experiment",,,,1400,0,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","SI001",Ch1Unknown,"v3v4","Manual",3300,QX200 ddPCR EvaGreen Supermix,66000,,,3380,3270,16766,1075,,,,,,17841,,,,,,,,,,,,,,,,,,1,1,14996,24445,11643,23674,"Absolute Quantification Experiment",,,,3300,0,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","SI002",Ch1Unknown,"v3v4","Manual",2955,QX200 ddPCR EvaGreen Supermix,59100,,,3013,2927,17346,1531,,,,,,18877,,,,,,,,,,,,,,,,,,1,1,14996,24963,11532,23874,"Absolute Quantification Experiment",,,,3000,0,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","SI003",Ch1Unknown,"v3v4","Manual",3161,QX200 ddPCR EvaGreen Supermix,63220,,,3225,3129,17173,1255,,,,,,18428,,,,,,,,,,,,,,,,,,1,1,14996,21756,11871,21082,"Absolute Quantification Experiment",,,,3200,0,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","SI004",Ch1Unknown,"v3v4","Manual",3250,QX200 ddPCR EvaGreen Supermix,65000,,,3320,3220,16107,1086,,,,,,17193,,,,,,,,,,,,,,,,,,1,1,14996,24713,11897,23903,"Absolute Quantification Experiment",,,,3300,0,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","SI005",Ch1Unknown,"v3v4","Manual",2104,QX200 ddPCR EvaGreen Supermix,42080,,,2143,2085,15225,3056,,,,,,18281,,,,,,,,,,,,,,,,,,1,1,14996,23516,11429,21496,"Absolute Quantification Experiment",,,,2100,0,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","SI006",Ch1Unknown,"v3v4","Manual",2672,QX200 ddPCR EvaGreen Supermix,53440,,,2724,2647,16376,1884,,,,,,18260,,,,,,,,,,,,,,,,,,1,1,14996,24191,11458,22877,"Absolute Quantification Experiment",,,,2700,0,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","SI007",Ch1Unknown,"v3v4","Manual",2644,QX200 ddPCR EvaGreen Supermix,52880,,,2695,2619,16417,1939,,,,,,18356,,,,,,,,,,,,,,,,,,1,1,14996,24912,11316,23476,"Absolute Quantification Experiment",,,,2700,0,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","SI008",Ch1Unknown,"v3v4","Manual",3550,QX200 ddPCR EvaGreen Supermix,71000,,,3630,3510,16554,850,,,,,,17404,,,,,,,,,,,,,,,,,,1,1,14996,21217,11574,20746,"Absolute Quantification Experiment",,,,3600,0,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","SI009",Ch1Unknown,"v3v4","Manual",2887,QX200 ddPCR EvaGreen Supermix,57740,,,2945,2859,16423,1544,,,,,,17967,,,,,,,,,,,,,,,,,,1,1,14996,24704,11335,23555,"Absolute Quantification Experiment",,,,2900,0,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","SI010",Ch1Unknown,"v3v4","Manual",3760,QX200 ddPCR EvaGreen Supermix,75200,,,3850,3720,17083,730,,,,,,17813,,,,,,,,,,,,,,,,,,1,1,14996,23061,11461,22585,"Absolute Quantification Experiment",,,,3800,0,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","SI011",Ch1Unknown,"v3v4","Manual",2855,QX200 ddPCR EvaGreen Supermix,57100,,,2911,2828,16874,1634,,,,,,18508,,,,,,,,,,,,,,,,,,1,1,14996,22093,11202,21132,"Absolute Quantification Experiment",,,,2900,0,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","SI012",Ch1Unknown,"v3v4","Manual",1328,QX200 ddPCR EvaGreen Supermix,26560,,,1353,1315,11804,5643,,,,,,17447,,,,,,,,,,,,,,,,,,1,1,14996,22901,11014,19057,"Absolute Quantification Experiment",,,,1300,0,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","NTC",Ch1NTC,"v3v4","Manual",0,QX200 ddPCR EvaGreen Supermix,0,,,0.2,0,0,17454,,,,,,17454,,,,,,,,,,,,,,,,,,1,1,14996,0,10851,10851,"Absolute Quantification Experiment",,,,0.092,0,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","NTC",Ch1NTC,"v3v4","Manual",0.15,QX200 ddPCR EvaGreen Supermix,3,,,0.72,0.04,1,7769,,,,,,7770,,,,,,,,,,,,,,,,,,1,1,14996,22982,10335,10336,"Absolute Quantification Experiment",,,,0.38,0,,,,,,,,,,,,,
