Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B04,Absolute Quantification,""ABS"",""SB004"",Ch1Unknown,""v3v4"",""Manual"",2771,QX200 ddPCR EvaGreen Supermix,55420,,,2829,2742,14350,1504,,,,,,15854,,,,,,,,,,,,,,,,,,1,1,13004,21910,10560,20833,""Absolute Quantification Experiment"",,,,2800,0,,,,,,,,,,,,,"
"C04,Absolute Quantification,""ABS"",""SC004"",Ch1Unknown,""v3v4"",""Manual"",2833,QX200 ddPCR EvaGreen Supermix,56660,,,2886,2807,18294,1809,,,,,,20103,,,,,,,,,,,,,,,,,,1,1,13004,20602,10604,19702,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"D04,Absolute Quantification,""ABS"",""SD004"",Ch1Unknown,""v3v4"",""Manual"",3038,QX200 ddPCR EvaGreen Supermix,60760,,,3099,3008,17026,1392,,,,,,18418,,,,,,,,,,,,,,,,,,1,1,13004,21567,10948,20764,""Absolute Quantification Experiment"",,,,3100,0,,,,,,,,,,,,,"
"E04,Absolute Quantification,""ABS"",""SE004"",Ch1Unknown,""v3v4"",""Manual"",2901,QX200 ddPCR EvaGreen Supermix,58020,,,2958,2873,16706,1551,,,,,,18257,,,,,,,,,,,,,,,,,,1,1,13004,24389,10747,23230,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"F04,Absolute Quantification,""ABS"",""SF004"",Ch1Unknown,""v3v4"",""Manual"",3047,QX200 ddPCR EvaGreen Supermix,60940,,,3108,3016,16750,1359,,,,,,18109,,,,,,,,,,,,,,,,,,1,1,13004,22093,10510,21224,""Absolute Quantification Experiment"",,,,3100,0,,,,,,,,,,,,,"
"G04,Absolute Quantification,""ABS"",""SG004"",Ch1Unknown,""v3v4"",""Manual"",2987,QX200 ddPCR EvaGreen Supermix,59740,,,3048,2957,16344,1401,,,,,,17745,,,,,,,,,,,,,,,,,,1,1,13004,22284,10398,21346,""Absolute Quantification Experiment"",,,,3000,0,,,,,,,,,,,,,"
"H04,Absolute Quantification,""ABS"",""SH004"",Ch1Unknown,""v3v4"",""Manual"",3260,QX200 ddPCR EvaGreen Supermix,65200,,,3320,3220,17270,1157,,,,,,18427,,,,,,,,,,,,,,,,,,1,1,13004,21159,10289,20476,""Absolute Quantification Experiment"",,,,3300,0,,,,,,,,,,,,,"
"A05,Absolute Quantification,""ABS"",""SA005"",Ch1Unknown,""v3v4"",""Manual"",1049,QX200 ddPCR EvaGreen Supermix,20980,,,1087,1029,3101,2156,,,,,,5257,,,,,,,,,,,,,,,,,,1,1,13004,20455,7661.6,15208,""Absolute Quantification Experiment"",,,,1100,0,,,,,,,,,,,,,"
"B05,Absolute Quantification,""ABS"",""SB005"",Ch1Unknown,""v3v4"",""Manual"",2264,QX200 ddPCR EvaGreen Supermix,45280,,,2309,2241,13364,2284,,,,,,15648,,,,,,,,,,,,,,,,,,1,1,13004,22789,10589,21008,""Absolute Quantification Experiment"",,,,2300,0,,,,,,,,,,,,,"
"C05,Absolute Quantification,""ABS"",""SC005"",Ch1Unknown,""v3v4"",""Manual"",2591,QX200 ddPCR EvaGreen Supermix,51820,,,2641,2566,15766,1960,,,,,,17726,,,,,,,,,,,,,,,,,,1,1,13004,20563,10779,19481,""Absolute Quantification Experiment"",,,,2600,0,,,,,,,,,,,,,"
"D05,Absolute Quantification,""ABS"",""SD005"",Ch1Unknown,""v3v4"",""Manual"",2595,QX200 ddPCR EvaGreen Supermix,51900,,,2647,2569,14604,1808,,,,,,16412,,,,,,,,,,,,,,,,,,1,1,13004,21425,10444,20215,""Absolute Quantification Experiment"",,,,2600,0,,,,,,,,,,,,,"
"E05,Absolute Quantification,""ABS"",""SE005"",Ch1Unknown,""v3v4"",""Manual"",2260,QX200 ddPCR EvaGreen Supermix,45200,,,2304,2239,14432,2476,,,,,,16908,,,,,,,,,,,,,,,,,,1,1,13004,20661,10619,19190,""Absolute Quantification Experiment"",,,,2300,0,,,,,,,,,,,,,"
"F05,Absolute Quantification,""ABS"",""SF005"",Ch1Unknown,""v3v4"",""Manual"",2398,QX200 ddPCR EvaGreen Supermix,47960,,,2444,2375,15020,2250,,,,,,17270,,,,,,,,,,,,,,,,,,1,1,13004,21927,10566,20446,""Absolute Quantification Experiment"",,,,2400,0,,,,,,,,,,,,,"
"G05,Absolute Quantification,""ABS"",""SG005"",Ch1Unknown,""v3v4"",""Manual"",2215,QX200 ddPCR EvaGreen Supermix,44300,,,2260,2193,13072,2346,,,,,,15418,,,,,,,,,,,,,,,,,,1,1,13004,22212,10466,20425,""Absolute Quantification Experiment"",,,,2200,0,,,,,,,,,,,,,"
"H05,Absolute Quantification,""ABS"",""SH005"",Ch1Unknown,""v3v4"",""Manual"",2429,QX200 ddPCR EvaGreen Supermix,48580,,,2479,2404,12976,1886,,,,,,14862,,,,,,,,,,,,,,,,,,1,1,13004,21399,10479,20013,""Absolute Quantification Experiment"",,,,2500,0,,,,,,,,,,,,,"
"A06,Absolute Quantification,""ABS"",""SA006"",Ch1Unknown,""v3v4"",""Manual"",2918,QX200 ddPCR EvaGreen Supermix,58360,,,2980,2888,14634,1337,,,,,,15971,,,,,,,,,,,,,,,,,,1,1,13004,21273,10247,20350,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"B06,Absolute Quantification,""ABS"",""SB006"",Ch1Unknown,""v3v4"",""Manual"",3690,QX200 ddPCR EvaGreen Supermix,73800,,,3780,3650,15491,701,,,,,,16192,,,,,,,,,,,,,,,,,,1,1,13004,20905,10150,20439,""Absolute Quantification Experiment"",,,,3700,0,,,,,,,,,,,,,"
"C06,Absolute Quantification,""ABS"",""SC006"",Ch1Unknown,""v3v4"",""Manual"",2467,QX200 ddPCR EvaGreen Supermix,49340,,,2512,2444,16967,2377,,,,,,19344,,,,,,,,,,,,,,,,,,1,1,13004,18999,9037.8,17775,""Absolute Quantification Experiment"",,,,2500,0,,,,,,,,,,,,,"
"D06,Absolute Quantification,""ABS"",""SD006"",Ch1Unknown,""v3v4"",""Manual"",3132,QX200 ddPCR EvaGreen Supermix,62640,,,3194,3101,17774,1334,,,,,,19108,,,,,,,,,,,,,,,,,,1,1,13004,22497,10721,21674,""Absolute Quantification Experiment"",,,,3200,0,,,,,,,,,,,,,"
"E06,Absolute Quantification,""ABS"",""SE006"",Ch1Unknown,""v3v4"",""Manual"",2776,QX200 ddPCR EvaGreen Supermix,55520,,,2831,2749,16312,1701,,,,,,18013,,,,,,,,,,,,,,,,,,1,1,13004,19825,9918.2,18890,""Absolute Quantification Experiment"",,,,2800,0,,,,,,,,,,,,,"
"F06,Absolute Quantification,""ABS"",""SF006"",Ch1Unknown,""v3v4"",""Manual"",2616,QX200 ddPCR EvaGreen Supermix,52320,,,2667,2591,15645,1898,,,,,,17543,,,,,,,,,,,,,,,,,,1,1,13004,21650,10415,20434,""Absolute Quantification Experiment"",,,,2600,0,,,,,,,,,,,,,"
"G06,Absolute Quantification,""ABS"",""SG006"",Ch1Unknown,""v3v4"",""Manual"",3162,QX200 ddPCR EvaGreen Supermix,63240,,,3228,3130,16288,1189,,,,,,17477,,,,,,,,,,,,,,,,,,1,1,13004,23391,10108,22488,""Absolute Quantification Experiment"",,,,3200,0,,,,,,,,,,,,,"
"H06,Absolute Quantification,""ABS"",""SH006"",Ch1Unknown,""v3v4"",""Manual"",105.5,QX200 ddPCR EvaGreen Supermix,2110,,,110.8,102.8,1511,16108,,,,,,17619,,,,,,,,,,,,,,,,,,1,1,13004,20010,9830.6,10704,""Absolute Quantification Experiment"",,,,110,0,,,,,,,,,,,,,"
"A07,Absolute Quantification,""ABS"",""SA007"",Ch1Unknown,""v3v4"",""Manual"",2110,QX200 ddPCR EvaGreen Supermix,42200,,,2151,2089,13620,2719,,,,,,16339,,,,,,,,,,,,,,,,,,1,1,13004,21143,9929.6,19277,""Absolute Quantification Experiment"",,,,2100,0,,,,,,,,,,,,,"
"B07,Absolute Quantification,""ABS"",""SB007"",Ch1Unknown,""v3v4"",""Manual"",2713,QX200 ddPCR EvaGreen Supermix,54260,,,2771,2685,13504,1494,,,,,,14998,,,,,,,,,,,,,,,,,,1,1,13004,21689,10033,20528,""Absolute Quantification Experiment"",,,,2700,0,,,,,,,,,,,,,"
"C07,Absolute Quantification,""ABS"",""SC007"",Ch1Unknown,""v3v4"",""Manual"",2032,QX200 ddPCR EvaGreen Supermix,40640,,,2068,2014,15933,3444,,,,,,19377,,,,,,,,,,,,,,,,,,1,1,13004,18568,9358.8,16931,""Absolute Quantification Experiment"",,,,2100,0,,,,,,,,,,,,,"
"D07,Absolute Quantification,""ABS"",""SD007"",Ch1Unknown,""v3v4"",""Manual"",2822,QX200 ddPCR EvaGreen Supermix,56440,,,2877,2795,16886,1687,,,,,,18573,,,,,,,,,,,,,,,,,,1,1,13004,21377,10123,20355,""Absolute Quantification Experiment"",,,,2800,0,,,,,,,,,,,,,"
"E07,Absolute Quantification,""ABS"",""SE007"",Ch1Unknown,""v3v4"",""Manual"",3075,QX200 ddPCR EvaGreen Supermix,61500,,,3136,3045,17690,1398,,,,,,19088,,,,,,,,,,,,,,,,,,1,1,13004,19066,9909.6,18395,""Absolute Quantification Experiment"",,,,3100,0,,,,,,,,,,,,,"
"F07,Absolute Quantification,""ABS"",""SF007"",Ch1Unknown,""v3v4"",""Manual"",2881,QX200 ddPCR EvaGreen Supermix,57620,,,2939,2853,16131,1525,,,,,,17656,,,,,,,,,,,,,,,,,,1,1,13004,23859,10312,22689,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"G07,Absolute Quantification,""ABS"",""SG007"",Ch1Unknown,""v3v4"",""Manual"",3300,QX200 ddPCR EvaGreen Supermix,66000,,,3370,3270,17552,1132,,,,,,18684,,,,,,,,,,,,,,,,,,1,1,13004,22096,10200,21376,""Absolute Quantification Experiment"",,,,3300,0,,,,,,,,,,,,,"
"H07,Absolute Quantification,""ABS"",""SH007"",Ch1Unknown,""v3v4"",""Manual"",2868,QX200 ddPCR EvaGreen Supermix,57360,,,2925,2840,16391,1569,,,,,,17960,,,,,,,,,,,,,,,,,,1,1,13004,21967,10347,20952,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"A08,Absolute Quantification,""ABS"",""SA008"",Ch1Unknown,""v3v4"",""Manual"",2853,QX200 ddPCR EvaGreen Supermix,57060,,,2915,2823,14015,1360,,,,,,15375,,,,,,,,,,,,,,,,,,1,1,13004,21144,10219,20178,""Absolute Quantification Experiment"",,,,2900,0,,,,,,,,,,,,,"
"B08,Absolute Quantification,""ABS"",""SB008"",Ch1Unknown,""v3v4"",""Manual"",0.13,QX200 ddPCR EvaGreen Supermix,2.6,,,0.62,0.04,1,8995,,,,,,8996,,,,,,,,,,,,,,,,,,1,1,13004,15040,10404,10404,""Absolute Quantification Experiment"",,,,0.33,0,,,,,,,,,,,,,"
"C08,Absolute Quantification,""ABS"",""SC008"",Ch1Unknown,""v3v4"",""Manual"",3057,QX200 ddPCR EvaGreen Supermix,61140,,,3119,3026,16586,1333,,,,,,17919,,,,,,,,,,,,,,,,,,1,1,13004,20990,10071,20177,""Absolute Quantification Experiment"",,,,3100,0,,,,,,,,,,,,,"
"D08,Absolute Quantification,""ABS"",""SD008"",Ch1Unknown,""v3v4"",""Manual"",3450,QX200 ddPCR EvaGreen Supermix,69000,,,3520,3410,16321,920,,,,,,17241,,,,,,,,,,,,,,,,,,1,1,13004,22579,10512,21935,""Absolute Quantification Experiment"",,,,3500,0,,,,,,,,,,,,,"
"E08,Absolute Quantification,""ABS"",""SE008"",Ch1Unknown,""v3v4"",""Manual"",2401,QX200 ddPCR EvaGreen Supermix,48020,,,2447,2378,15302,2285,,,,,,17587,,,,,,,,,,,,,,,,,,1,1,13004,18393,9806,17278,""Absolute Quantification Experiment"",,,,2400,0,,,,,,,,,,,,,"
"F08,Absolute Quantification,""ABS"",""SF008"",Ch1Unknown,""v3v4"",""Manual"",2641,QX200 ddPCR EvaGreen Supermix,52820,,,2692,2617,16514,1956,,,,,,18470,,,,,,,,,,,,,,,,,,1,1,13004,23044,10284,21693,""Absolute Quantification Experiment"",,,,2700,0,,,,,,,,,,,,,"
"G08,Absolute Quantification,""ABS"",""SG008"",Ch1Unknown,""v3v4"",""Manual"",2780,QX200 ddPCR EvaGreen Supermix,55600,,,2836,2753,15580,1619,,,,,,17199,,,,,,,,,,,,,,,,,,1,1,13004,22188,10286,21068,""Absolute Quantification Experiment"",,,,2800,0,,,,,,,,,,,,,"
"H08,Absolute Quantification,""ABS"",""SH008"",Ch1Unknown,""v3v4"",""Manual"",2923,QX200 ddPCR EvaGreen Supermix,58460,,,2983,2894,15617,1420,,,,,,17037,,,,,,,,,,,,,,,,,,1,1,13004,22299,9962.2,21271,""Absolute Quantification Experiment"",,,,3000,0,,,,,,,,,,,,,"
"A09,Absolute Quantification,""ABS"",""SA009"",Ch1Unknown,""v3v4"",""Manual"",2700,QX200 ddPCR EvaGreen Supermix,54000,,,2770,2660,7662,862,,,,,,8524,,,,,,,,,,,,,,,,,,1,1,13004,21761,10022,20574,""Absolute Quantification Experiment"",,,,2700,0,,,,,,,,,,,,,"
"B09,Absolute Quantification,""ABS"",""SB009"",Ch1Unknown,""v3v4"",""Manual"",6.8,QX200 ddPCR EvaGreen Supermix,136,,,8.4,6,79,13687,,,,,,13766,,,,,,,,,,,,,,,,,,1,1,13004,25416,9922.6,10011,""Absolute Quantification Experiment"",,,,7.6,0,,,,,,,,,,,,,"
"C09,Absolute Quantification,""ABS"",""SC009"",Ch1Unknown,""v3v4"",""Manual"",3550,QX200 ddPCR EvaGreen Supermix,71000,,,3630,3510,15943,819,,,,,,16762,,,,,,,,,,,,,,,,,,1,1,13004,21849,10383,21289,""Absolute Quantification Experiment"",,,,3600,0,,,,,,,,,,,,,"
"D09,Absolute Quantification,""ABS"",""SD009"",Ch1Unknown,""v3v4"",""Manual"",3940,QX200 ddPCR EvaGreen Supermix,78800,,,4040,3900,15807,574,,,,,,16381,,,,,,,,,,,,,,,,,,1,1,13004,21561,10473,21172,""Absolute Quantification Experiment"",,,,4000,0,,,,,,,,,,,,,"
"E09,Absolute Quantification,""ABS"",""SE009"",Ch1Unknown,""v3v4"",""Manual"",2671,QX200 ddPCR EvaGreen Supermix,53420,,,2723,2645,15527,1789,,,,,,17316,,,,,,,,,,,,,,,,,,1,1,13004,20486,9702.3,19372,""Absolute Quantification Experiment"",,,,2700,0,,,,,,,,,,,,,"
"F09,Absolute Quantification,""ABS"",""SF009"",Ch1Unknown,""v3v4"",""Manual"",490,QX200 ddPCR EvaGreen Supermix,9800,,,503,483,5462,10570,,,,,,16032,,,,,,,,,,,,,,,,,,1,1,13004,24872,10017,15078,""Absolute Quantification Experiment"",,,,500,0,,,,,,,,,,,,,"
"G09,Absolute Quantification,""ABS"",""SG009"",Ch1Unknown,""v3v4"",""Manual"",3230,QX200 ddPCR EvaGreen Supermix,64600,,,3300,3200,16456,1129,,,,,,17585,,,,,,,,,,,,,,,,,,1,1,13004,23262,10011,22411,""Absolute Quantification Experiment"",,,,3300,0,,,,,,,,,,,,,"
"H09,Absolute Quantification,""ABS"",""SH009"",Ch1Unknown,""v3v4"",""Manual"",3470,QX200 ddPCR EvaGreen Supermix,69400,,,3540,3430,16754,927,,,,,,17681,,,,,,,,,,,,,,,,,,1,1,13004,21937,10001,21311,""Absolute Quantification Experiment"",,,,3500,0,,,,,,,,,,,,,"
"A10,Absolute Quantification,""ABS"",""SA010"",Ch1Unknown,""v3v4"",""Manual"",3150,QX200 ddPCR EvaGreen Supermix,63000,,,3230,3110,11327,836,,,,,,12163,,,,,,,,,,,,,,,,,,1,1,13004,21863,10040,21050,""Absolute Quantification Experiment"",,,,3200,0,,,,,,,,,,,,,"
"B10,Absolute Quantification,""ABS"",""SB010"",Ch1Unknown,""v3v4"",""Manual"",2137,QX200 ddPCR EvaGreen Supermix,42740,,,2179,2116,13359,2594,,,,,,15953,,,,,,,,,,,,,,,,,,1,1,13004,22834,9936.2,20737,""Absolute Quantification Experiment"",,,,2200,0,,,,,,,,,,,,,"
"C10,Absolute Quantification,""ABS"",""SC010"",Ch1Unknown,""v3v4"",""Manual"",3198,QX200 ddPCR EvaGreen Supermix,63960,,,3264,3165,17011,1202,,,,,,18213,,,,,,,,,,,,,,,,,,1,1,13004,19008,10447,18443,""Absolute Quantification Experiment"",,,,3200,0,,,,,,,,,,,,,"
"D10,Absolute Quantification,""ABS"",""SD010"",Ch1Unknown,""v3v4"",""Manual"",3530,QX200 ddPCR EvaGreen Supermix,70600,,,3610,3500,17002,887,,,,,,17889,,,,,,,,,,,,,,,,,,1,1,13004,21978,10162,21392,""Absolute Quantification Experiment"",,,,3600,0,,,,,,,,,,,,,"
"E10,Absolute Quantification,""ABS"",""SE010"",Ch1Unknown,""v3v4"",""Manual"",2386,QX200 ddPCR EvaGreen Supermix,47720,,,2430,2364,16549,2508,,,,,,19057,,,,,,,,,,,,,,,,,,1,1,13004,19826,9666.3,18489,""Absolute Quantification Experiment"",,,,2400,0,,,,,,,,,,,,,"
