Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A11",Absolute Quantification,"ABS","MA011",Ch1Unknown,"v3v4","Manual",2514,QX200 ddPCR EvaGreen Supermix,50280,,,2567,2488,13084,1750,,,,,,14834,,,,,,,,,,,,,,,,,,1,1,10368,22479,7170.1,20673,"Absolute Quantification Experiment",,,,2500,0,,,,,,,,,,,,,
"A12",Absolute Quantification,"ABS","MA012",Ch1Unknown,"v3v4","Manual",2720,QX200 ddPCR EvaGreen Supermix,54400,,,2790,2690,9885,1087,,,,,,10972,,,,,,,,,,,,,,,,,,1,1,10368,21500,7420.4,20105,"Absolute Quantification Experiment",,,,2800,0,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","MB001",Ch1Unknown,"v3v4","Manual",2592,QX200 ddPCR EvaGreen Supermix,51840,,,2639,2569,17762,2205,,,,,,19967,,,,,,,,,,,,,,,,,,1,1,10368,20697,9288.9,19437,"Absolute Quantification Experiment",,,,2600,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","MB002",Ch1Unknown,"v3v4","Manual",1032,QX200 ddPCR EvaGreen Supermix,20640,,,1051,1022,11881,8460,,,,,,20341,,,,,,,,,,,,,,,,,,1,1,10368,21624,8646.6,16227,"Absolute Quantification Experiment",,,,1000,0,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","MB003",Ch1Unknown,"v3v4","Manual",1385,QX200 ddPCR EvaGreen Supermix,27700,,,1414,1371,10361,4614,,,,,,14975,,,,,,,,,,,,,,,,,,1,1,10368,21113,8551.7,17243,"Absolute Quantification Experiment",,,,1400,0,,,,,,,,,,,,,
"B04",Absolute Quantification,"ABS","MB004",Ch1Unknown,"v3v4","Manual",1450,QX200 ddPCR EvaGreen Supermix,29000,,,1484,1434,8345,3433,,,,,,11778,,,,,,,,,,,,,,,,,,1,1,10368,21256,8205.7,17452,"Absolute Quantification Experiment",,,,1500,0,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","MB005",Ch1Unknown,"v3v4","Manual",846,QX200 ddPCR EvaGreen Supermix,16920,,,874,831,3535,3361,,,,,,6896,,,,,,,,,,,,,,,,,,1,1,10368,20865,8034.4,14612,"Absolute Quantification Experiment",,,,860,0,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","MB006",Ch1Unknown,"v3v4","Manual",1750,QX200 ddPCR EvaGreen Supermix,35000,,,1784,1733,12689,3704,,,,,,16393,,,,,,,,,,,,,,,,,,1,1,10368,21368,7714.9,18283,"Absolute Quantification Experiment",,,,1800,0,,,,,,,,,,,,,
"B07",Absolute Quantification,"ABS","MB007",Ch1Unknown,"v3v4","Manual",1743,QX200 ddPCR EvaGreen Supermix,34860,,,1780,1725,10657,3134,,,,,,13791,,,,,,,,,,,,,,,,,,1,1,10368,21678,7590.1,18476,"Absolute Quantification Experiment",,,,1800,0,,,,,,,,,,,,,
"B08",Absolute Quantification,"ABS","MB008",Ch1Unknown,"v3v4","Manual",1803,QX200 ddPCR EvaGreen Supermix,36060,,,1838,1786,12533,3452,,,,,,15985,,,,,,,,,,,,,,,,,,1,1,10368,21507,7606.4,18505,"Absolute Quantification Experiment",,,,1800,0,,,,,,,,,,,,,
"B09",Absolute Quantification,"ABS","MB009",Ch1Unknown,"v3v4","Manual",763,QX200 ddPCR EvaGreen Supermix,15260,,,779,754,8992,9859,,,,,,18851,,,,,,,,,,,,,,,,,,1,1,10368,22394,7105.2,14398,"Absolute Quantification Experiment",,,,770,0,,,,,,,,,,,,,
"B10",Absolute Quantification,"ABS","MB010",Ch1Unknown,"v3v4","Manual",900,QX200 ddPCR EvaGreen Supermix,18000,,,919,891,9511,8273,,,,,,17784,,,,,,,,,,,,,,,,,,1,1,10368,22304,7222.6,15288,"Absolute Quantification Experiment",,,,910,0,,,,,,,,,,,,,
"B11",Absolute Quantification,"ABS","MB011",Ch1Unknown,"v3v4","Manual",1287,QX200 ddPCR EvaGreen Supermix,25740,,,1312,1274,10977,5530,,,,,,16507,,,,,,,,,,,,,,,,,,1,1,10368,22385,7032.8,17242,"Absolute Quantification Experiment",,,,1300,0,,,,,,,,,,,,,
"B12",Absolute Quantification,"ABS","MB012",Ch1Unknown,"v3v4","Manual",822,QX200 ddPCR EvaGreen Supermix,16440,,,840,813,8505,8406,,,,,,16911,,,,,,,,,,,,,,,,,,1,1,10368,23216,6987.9,15150,"Absolute Quantification Experiment",,,,830,0,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","MC001",Ch1Unknown,"v3v4","Manual",811,QX200 ddPCR EvaGreen Supermix,16220,,,827,803,10334,10409,,,,,,20743,,,,,,,,,,,,,,,,,,1,1,10368,21271,8840.2,15033,"Absolute Quantification Experiment",,,,820,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","MC002",Ch1Unknown,"v3v4","Manual",1413,QX200 ddPCR EvaGreen Supermix,28260,,,1438,1400,13843,5958,,,,,,19801,,,,,,,,,,,,,,,,,,1,1,10368,20791,8662.5,17142,"Absolute Quantification Experiment",,,,1400,0,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","MC003",Ch1Unknown,"v3v4","Manual",617,QX200 ddPCR EvaGreen Supermix,12340,,,633,610,6648,9633,,,,,,16281,,,,,,,,,,,,,,,,,,1,1,10368,20898,8302.1,13445,"Absolute Quantification Experiment",,,,630,0,,,,,,,,,,,,,
"C04",Absolute Quantification,"ABS","MC004",Ch1Unknown,"v3v4","Manual",1764,QX200 ddPCR EvaGreen Supermix,35280,,,1794,1749,16019,4606,,,,,,20625,,,,,,,,,,,,,,,,,,1,1,10368,20598,8166.1,17822,"Absolute Quantification Experiment",,,,1800,0,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","MC005",Ch1Unknown,"v3v4","Manual",623,QX200 ddPCR EvaGreen Supermix,12460,,,645,612,3188,4569,,,,,,7757,,,,,,,,,,,,,,,,,,1,1,10368,21231,8033.6,13457,"Absolute Quantification Experiment",,,,630,0,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","MC006",Ch1Unknown,"v3v4","Manual",1663,QX200 ddPCR EvaGreen Supermix,33260,,,1693,1648,13899,4469,,,,,,18368,,,,,,,,,,,,,,,,,,1,1,10368,21116,7705.5,17853,"Absolute Quantification Experiment",,,,1700,0,,,,,,,,,,,,,
"C07",Absolute Quantification,"ABS","MC007",Ch1Unknown,"v3v4","Manual",2399,QX200 ddPCR EvaGreen Supermix,47980,,,2442,2377,17150,2567,,,,,,19717,,,,,,,,,,,,,,,,,,1,1,10368,20448,7674.8,18785,"Absolute Quantification Experiment",,,,2400,0,,,,,,,,,,,,,
"C08",Absolute Quantification,"ABS","MB008",Ch1Unknown,"v3v4","Manual",959,QX200 ddPCR EvaGreen Supermix,19180,,,979,949,9570,7600,,,,,,17170,,,,,,,,,,,,,,,,,,1,1,10368,21886,7406.6,15477,"Absolute Quantification Experiment",,,,970,0,,,,,,,,,,,,,
"C09",Absolute Quantification,"ABS","MC009",Ch1Unknown,"v3v4","Manual",2198,QX200 ddPCR EvaGreen Supermix,43960,,,2237,2178,16177,2954,,,,,,19131,,,,,,,,,,,,,,,,,,1,1,10368,20574,7527.1,18560,"Absolute Quantification Experiment",,,,2200,0,,,,,,,,,,,,,
"C10",Absolute Quantification,"ABS","MC010",Ch1Unknown,"v3v4","Manual",904,QX200 ddPCR EvaGreen Supermix,18080,,,924,895,8988,7769,,,,,,16757,,,,,,,,,,,,,,,,,,1,1,10368,22265,7221.8,15291,"Absolute Quantification Experiment",,,,910,0,,,,,,,,,,,,,
"C11",Absolute Quantification,"ABS","MC011",Ch1Unknown,"v3v4","Manual",1205,QX200 ddPCR EvaGreen Supermix,24100,,,1228,1194,12470,6982,,,,,,19452,,,,,,,,,,,,,,,,,,1,1,10368,22318,7032,16831,"Absolute Quantification Experiment",,,,1200,0,,,,,,,,,,,,,
"C12",Absolute Quantification,"ABS","MC012",Ch1Unknown,"v3v4","Manual",1076,QX200 ddPCR EvaGreen Supermix,21520,,,1098,1065,9831,6575,,,,,,16406,,,,,,,,,,,,,,,,,,1,1,10368,21948,6824.8,15887,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","MD001",Ch1Unknown,"v3v4","Manual",1193,QX200 ddPCR EvaGreen Supermix,23860,,,1215,1182,12384,7049,,,,,,19433,,,,,,,,,,,,,,,,,,1,1,10368,20508,8760.7,16247,"Absolute Quantification Experiment",,,,1200,0,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","MD002",Ch1Unknown,"v3v4","Manual",1167,QX200 ddPCR EvaGreen Supermix,23340,,,1189,1156,11965,7056,,,,,,19021,,,,,,,,,,,,,,,,,,1,1,10368,21230,8559.9,16530,"Absolute Quantification Experiment",,,,1200,0,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","MD003",Ch1Unknown,"v3v4","Manual",1002,QX200 ddPCR EvaGreen Supermix,20040,,,1023,991,9344,6958,,,,,,16302,,,,,,,,,,,,,,,,,,1,1,10368,21173,8389.2,15717,"Absolute Quantification Experiment",,,,1000,0,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","MD004",Ch1Unknown,"v3v4","Manual",2422,QX200 ddPCR EvaGreen Supermix,48440,,,2467,2400,16646,2434,,,,,,19080,,,,,,,,,,,,,,,,,,1,1,10368,20587,8291.9,19019,"Absolute Quantification Experiment",,,,2400,0,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","MD005",Ch1Unknown,"v3v4","Manual",701,QX200 ddPCR EvaGreen Supermix,14020,,,724,689,3539,4348,,,,,,7887,,,,,,,,,,,,,,,,,,1,1,10368,20581,8136.4,13721,"Absolute Quantification Experiment",,,,710,0,,,,,,,,,,,,,
"D06",Absolute Quantification,"ABS","MD006",Ch1Unknown,"v3v4","Manual",2422,QX200 ddPCR EvaGreen Supermix,48440,,,2468,2399,15562,2277,,,,,,17839,,,,,,,,,,,,,,,,,,1,1,10368,20658,7832.6,19021,"Absolute Quantification Experiment",,,,2400,0,,,,,,,,,,,,,
"D07",Absolute Quantification,"ABS","MD007",Ch1Unknown,"v3v4","Manual",3037,QX200 ddPCR EvaGreen Supermix,60740,,,3095,3008,18404,1507,,,,,,19911,,,,,,,,,,,,,,,,,,1,1,10368,20309,7776.7,19361,"Absolute Quantification Experiment",,,,3100,0,,,,,,,,,,,,,
"D08",Absolute Quantification,"ABS","MD008",Ch1Unknown,"v3v4","Manual",1158,QX200 ddPCR EvaGreen Supermix,23160,,,1181,1147,10630,6340,,,,,,16970,,,,,,,,,,,,,,,,,,1,1,10368,21658,7385.2,16325,"Absolute Quantification Experiment",,,,1200,0,,,,,,,,,,,,,
"D09",Absolute Quantification,"ABS","MD009",Ch1Unknown,"v3v4","Manual",2403,QX200 ddPCR EvaGreen Supermix,48060,,,2448,2381,16362,2438,,,,,,18800,,,,,,,,,,,,,,,,,,1,1,10368,20859,7462.5,19122,"Absolute Quantification Experiment",,,,2400,0,,,,,,,,,,,,,
"D10",Absolute Quantification,"ABS","MD010",Ch1Unknown,"v3v4","Manual",846,QX200 ddPCR EvaGreen Supermix,16920,,,865,837,8446,8022,,,,,,16468,,,,,,,,,,,,,,,,,,1,1,10368,22009,7162.9,14777,"Absolute Quantification Experiment",,,,860,0,,,,,,,,,,,,,
"D11",Absolute Quantification,"ABS","MD011",Ch1Unknown,"v3v4","Manual",1756,QX200 ddPCR EvaGreen Supermix,35120,,,1788,1741,14906,4321,,,,,,19227,,,,,,,,,,,,,,,,,,1,1,10368,21660,7183.2,18406,"Absolute Quantification Experiment",,,,1800,0,,,,,,,,,,,,,
"D12",Absolute Quantification,"ABS","MD012",Ch1Unknown,"v3v4","Manual",720,QX200 ddPCR EvaGreen Supermix,14400,,,736,712,7972,9445,,,,,,17417,,,,,,,,,,,,,,,,,,1,1,10368,22475,6970.4,14067,"Absolute Quantification Experiment",,,,730,0,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","ME001",Ch1Unknown,"v3v4","Manual",724,QX200 ddPCR EvaGreen Supermix,14480,,,739,716,9293,10928,,,,,,20221,,,,,,,,,,,,,,,,,,1,1,10368,21044,8756.4,14403,"Absolute Quantification Experiment",,,,730,0,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","ME002",Ch1Unknown,"v3v4","Manual",793,QX200 ddPCR EvaGreen Supermix,15860,,,810,785,9110,9463,,,,,,18573,,,,,,,,,,,,,,,,,,1,1,10368,20843,8350,14478,"Absolute Quantification Experiment",,,,800,0,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","ME003",Ch1Unknown,"v3v4","Manual",890,QX200 ddPCR EvaGreen Supermix,17800,,,910,880,7850,6941,,,,,,14791,,,,,,,,,,,,,,,,,,1,1,10368,20900,8275.6,14975,"Absolute Quantification Experiment",,,,900,0,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","ME004",Ch1Unknown,"v3v4","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,10368,0,0,0,"Absolute Quantification Experiment",,,,,,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","ME005",Ch1Unknown,"v3v4","Manual",446,QX200 ddPCR EvaGreen Supermix,8920,,,464,437,2454,5323,,,,,,7777,,,,,,,,,,,,,,,,,,1,1,10368,20543,7948.4,11923,"Absolute Quantification Experiment",,,,460,0,,,,,,,,,,,,,
"E06",Absolute Quantification,"ABS","ME006",Ch1Unknown,"v3v4","Manual",818,QX200 ddPCR EvaGreen Supermix,16360,,,836,809,8151,8120,,,,,,16271,,,,,,,,,,,,,,,,,,1,1,10368,21174,7495.3,14348,"Absolute Quantification Experiment",,,,830,0,,,,,,,,,,,,,
"E07",Absolute Quantification,"ABS","ME007",Ch1Unknown,"v3v4","Manual",593,QX200 ddPCR EvaGreen Supermix,11860,,,607,586,7134,10887,,,,,,18021,,,,,,,,,,,,,,,,,,1,1,10368,20473,7287.4,12507,"Absolute Quantification Experiment",,,,600,0,,,,,,,,,,,,,
"E08",Absolute Quantification,"ABS","ME008",Ch1Unknown,"v3v4","Manual",810,QX200 ddPCR EvaGreen Supermix,16200,,,828,801,7809,7882,,,,,,15691,,,,,,,,,,,,,,,,,,1,1,10368,21550,7379.5,14432,"Absolute Quantification Experiment",,,,820,0,,,,,,,,,,,,,
"E09",Absolute Quantification,"ABS","ME009",Ch1Unknown,"v3v4","Manual",1587,QX200 ddPCR EvaGreen Supermix,31740,,,1616,1572,13156,4612,,,,,,17768,,,,,,,,,,,,,,,,,,1,1,10368,21271,7242.4,17629,"Absolute Quantification Experiment",,,,1600,0,,,,,,,,,,,,,
"E10",Absolute Quantification,"ABS","ME010",Ch1Unknown,"v3v4","Manual",612,QX200 ddPCR EvaGreen Supermix,12240,,,627,605,7093,10394,,,,,,17487,,,,,,,,,,,,,,,,,,1,1,10368,21775,7075.9,13038,"Absolute Quantification Experiment",,,,620,0,,,,,,,,,,,,,
"E11",Absolute Quantification,"ABS","ME011",Ch1Unknown,"v3v4","Manual",786,QX200 ddPCR EvaGreen Supermix,15720,,,803,778,9093,9562,,,,,,18655,,,,,,,,,,,,,,,,,,1,1,10368,21871,7024.1,14261,"Absolute Quantification Experiment",,,,790,0,,,,,,,,,,,,,
"E12",Absolute Quantification,"ABS","ME012",Ch1Unknown,"v3v4","Manual",979,QX200 ddPCR EvaGreen Supermix,19580,,,1000,968,8416,6487,,,,,,14903,,,,,,,,,,,,,,,,,,1,1,10368,22412,7049,15725,"Absolute Quantification Experiment",,,,990,0,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","MF001",Ch1Unknown,"v3v4","Manual",1078,QX200 ddPCR EvaGreen Supermix,21560,,,1099,1068,11271,7509,,,,,,18780,,,,,,,,,,,,,,,,,,1,1,10368,21842,8688.3,16582,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","MF002",Ch1Unknown,"v3v4","Manual",1080,QX200 ddPCR EvaGreen Supermix,21600,,,1101,1070,11372,7556,,,,,,18928,,,,,,,,,,,,,,,,,,1,1,10368,21365,8376.1,16180,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","MF003",Ch1Unknown,"v3v4","Manual",1110,QX200 ddPCR EvaGreen Supermix,22200,,,1134,1098,9130,5821,,,,,,14951,,,,,,,,,,,,,,,,,,1,1,10368,21637,8227.3,16416,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","MF004",Ch1Unknown,"v3v4","Manual",556,QX200 ddPCR EvaGreen Supermix,11120,,,571,549,6003,9926,,,,,,15929,,,,,,,,,,,,,,,,,,1,1,10368,21668,7837.3,13049,"Absolute Quantification Experiment",,,,560,0,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","MF005",Ch1Unknown,"v3v4","Manual",839,QX200 ddPCR EvaGreen Supermix,16780,,,867,825,3676,3532,,,,,,7208,,,,,,,,,,,,,,,,,,1,1,10368,20558,7908.4,14360,"Absolute Quantification Experiment",,,,850,0,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","MF006",Ch1Unknown,"v3v4","Manual",2089,QX200 ddPCR EvaGreen Supermix,41780,,,2129,2068,13531,2760,,,,,,16291,,,,,,,,,,,,,,,,,,1,1,10368,21231,7639.1,18928,"Absolute Quantification Experiment",,,,2100,0,,,,,,,,,,,,,
"F07",Absolute Quantification,"ABS","MF007",Ch1Unknown,"v3v4","Manual",3017,QX200 ddPCR EvaGreen Supermix,60340,,,3078,2987,16514,1377,,,,,,17891,,,,,,,,,,,,,,,,,,1,1,10368,21047,7695.2,20019,"Absolute Quantification Experiment",,,,3000,0,,,,,,,,,,,,,
"F08",Absolute Quantification,"ABS","MF008",Ch1Unknown,"v3v4","Manual",2283,QX200 ddPCR EvaGreen Supermix,45660,,,2328,2260,13818,2318,,,,,,16136,,,,,,,,,,,,,,,,,,1,1,10368,21617,7664.9,19613,"Absolute Quantification Experiment",,,,2300,0,,,,,,,,,,,,,
"F09",Absolute Quantification,"ABS","MF009",Ch1Unknown,"v3v4","Manual",3008,QX200 ddPCR EvaGreen Supermix,60160,,,3072,2976,14864,1250,,,,,,16114,,,,,,,,,,,,,,,,,,1,1,10368,21003,7625.6,19966,"Absolute Quantification Experiment",,,,3000,0,,,,,,,,,,,,,
"F10",Absolute Quantification,"ABS","MF010",Ch1Unknown,"v3v4","Manual",1097,QX200 ddPCR EvaGreen Supermix,21940,,,1119,1086,10613,6891,,,,,,17504,,,,,,,,,,,,,,,,,,1,1,10368,22827,7177.5,16666,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"F11",Absolute Quantification,"ABS","MF011",Ch1Unknown,"v3v4","Manual",2031,QX200 ddPCR EvaGreen Supermix,40620,,,2068,2013,15224,3295,,,,,,18519,,,,,,,,,,,,,,,,,,1,1,10368,22551,7202.7,19820,"Absolute Quantification Experiment",,,,2000,0,,,,,,,,,,,,,
"F12",Absolute Quantification,"ABS","MF012",Ch1Unknown,"v3v4","Manual",1232,QX200 ddPCR EvaGreen Supermix,24640,,,1258,1219,9656,5221,,,,,,14877,,,,,,,,,,,,,,,,,,1,1,10368,23540,7012.1,17740,"Absolute Quantification Experiment",,,,1200,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","MG001",Ch1Unknown,"v3v4","Manual",1799,QX200 ddPCR EvaGreen Supermix,35980,,,1830,1783,15993,4427,,,,,,20420,,,,,,,,,,,,,,,,,,1,1,10368,20867,8663.6,18222,"Absolute Quantification Experiment",,,,1800,0,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","MG002",Ch1Unknown,"v3v4","Manual",1067,QX200 ddPCR EvaGreen Supermix,21340,,,1088,1056,10460,7085,,,,,,17545,,,,,,,,,,,,,,,,,,1,1,10368,20865,8283.5,15785,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","MG003",Ch1Unknown,"v3v4","Manual",702,QX200 ddPCR EvaGreen Supermix,14040,,,719,694,7004,8580,,,,,,15584,,,,,,,,,,,,,,,,,,1,1,10368,20707,8162.3,13800,"Absolute Quantification Experiment",,,,710,0,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","MG004",Ch1Unknown,"v3v4","Manual",1088,QX200 ddPCR EvaGreen Supermix,21760,,,1110,1077,10700,7030,,,,,,17730,,,,,,,,,,,,,,,,,,1,1,10368,20785,7801.3,15637,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","MG005",Ch1Unknown,"v3v4","Manual",380,QX200 ddPCR EvaGreen Supermix,7600,,,397,372,2086,5466,,,,,,7552,,,,,,,,,,,,,,,,,,1,1,10368,20442,7857.1,11333,"Absolute Quantification Experiment",,,,390,0,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","MG006",Ch1Unknown,"v3v4","Manual",780,QX200 ddPCR EvaGreen Supermix,15600,,,797,772,8731,9281,,,,,,18012,,,,,,,,,,,,,,,,,,1,1,10368,21283,7361.2,14109,"Absolute Quantification Experiment",,,,790,0,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","MG007",Ch1Unknown,"v3v4","Manual",735,QX200 ddPCR EvaGreen Supermix,14700,,,751,727,8588,9903,,,,,,18491,,,,,,,,,,,,,,,,,,1,1,10368,21534,7224.9,13871,"Absolute Quantification Experiment",,,,740,0,,,,,,,,,,,,,
"G08",Absolute Quantification,"ABS","MG008",Ch1Unknown,"v3v4","Manual",784,QX200 ddPCR EvaGreen Supermix,15680,,,803,775,7074,7468,,,,,,14542,,,,,,,,,,,,,,,,,,1,1,10368,21516,7351.6,14242,"Absolute Quantification Experiment",,,,790,0,,,,,,,,,,,,,
"G09",Absolute Quantification,"ABS","MG009",Ch1Unknown,"v3v4","Manual",2788,QX200 ddPCR EvaGreen Supermix,55760,,,2843,2761,16322,1683,,,,,,18005,,,,,,,,,,,,,,,,,,1,1,10368,20856,7360.2,19595,"Absolute Quantification Experiment",,,,2800,0,,,,,,,,,,,,,
