Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E03",Absolute Quantification,"ABS","MI009",Ch1Unknown,"v3v4","Manual",3000,QX200 ddPCR EvaGreen Supermix,60000,,,3062,2969,15692,1329,,,,,,17021,,,,,,,,,,,,,,,,,,1,1,12222,21598,9847,20681,"Absolute Quantification Experiment",,,,3000,0,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","MI001",Ch1Unknown,"v3v4","Manual",2145,QX200 ddPCR EvaGreen Supermix,42900,,,2183,2126,15988,3080,,,,,,19068,,,,,,,,,,,,,,,,,,1,1,12222,23113,9918.8,20981,"Absolute Quantification Experiment",,,,2200,0,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","MA005",Ch1Unknown,"v3v4","Manual",1045,QX200 ddPCR EvaGreen Supermix,20900,,,1066,1034,10573,7390,,,,,,17963,,,,,,,,,,,,,,,,,,1,1,12222,23022,10094,17703,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","MI008",Ch1Unknown,"v3v4","Manual",3470,QX200 ddPCR EvaGreen Supermix,69400,,,3550,3440,16358,901,,,,,,17259,,,,,,,,,,,,,,,,,,1,1,12222,21115,10062,20538,"Absolute Quantification Experiment",,,,3500,0,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","MA012",Ch1Unknown,"v3v4","Manual",571,QX200 ddPCR EvaGreen Supermix,11420,,,584,564,6930,11099,,,,,,18029,,,,,,,,,,,,,,,,,,1,1,12222,23761,9809.9,15172,"Absolute Quantification Experiment",,,,580,0,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","MA004",Ch1Unknown,"v3v4","Manual",404,QX200 ddPCR EvaGreen Supermix,8080,,,415,399,5539,13499,,,,,,19038,,,,,,,,,,,,,,,,,,1,1,12222,23745,10171,14120,"Absolute Quantification Experiment",,,,410,0,,,,,,,,,,,,,
"C03",Absolute Quantification,"ABS","MI007",Ch1Unknown,"v3v4","Manual",3240,QX200 ddPCR EvaGreen Supermix,64800,,,3310,3210,16192,1101,,,,,,17293,,,,,,,,,,,,,,,,,,1,1,12222,21605,10061,20870,"Absolute Quantification Experiment",,,,3300,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","MA011",Ch1Unknown,"v3v4","Manual",397,QX200 ddPCR EvaGreen Supermix,7940,,,408,391,5239,13058,,,,,,18297,,,,,,,,,,,,,,,,,,1,1,12222,23806,9886.6,13872,"Absolute Quantification Experiment",,,,400,0,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","MA003",Ch1Unknown,"v3v4","Manual",309,QX200 ddPCR EvaGreen Supermix,6180,,,318,304,4258,14185,,,,,,18443,,,,,,,,,,,,,,,,,,1,1,12222,23673,10178,13294,"Absolute Quantification Experiment",,,,310,0,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","MI006",Ch1Unknown,"v3v4","Manual",3430,QX200 ddPCR EvaGreen Supermix,68600,,,3520,3380,11939,686,,,,,,12625,,,,,,,,,,,,,,,,,,1,1,12222,21665,10068,21035,"Absolute Quantification Experiment",,,,3500,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","MA010",Ch1Unknown,"v3v4","Manual",686,QX200 ddPCR EvaGreen Supermix,13720,,,701,678,8417,10633,,,,,,19050,,,,,,,,,,,,,,,,,,1,1,12222,23592,9869.1,15932,"Absolute Quantification Experiment",,,,690,0,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","MA002",Ch1Unknown,"v3v4","Manual",461,QX200 ddPCR EvaGreen Supermix,9220,,,474,455,5152,10740,,,,,,15892,,,,,,,,,,,,,,,,,,1,1,12222,23564,10320,14614,"Absolute Quantification Experiment",,,,470,0,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","MI005",Ch1Unknown,"v3v4","Manual",3060,QX200 ddPCR EvaGreen Supermix,61200,,,3127,3028,14679,1176,,,,,,15855,,,,,,,,,,,,,,,,,,1,1,12222,21751,10104,20887,"Absolute Quantification Experiment",,,,3100,0,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","MA009",Ch1Unknown,"v3v4","Manual",269,QX200 ddPCR EvaGreen Supermix,5380,,,278,265,3593,13969,,,,,,17562,,,,,,,,,,,,,,,,,,1,1,12222,23829,9968.7,12804,"Absolute Quantification Experiment",,,,270,0,,,,,,,,,,,,,
